Episódio;Título;Convidado;YouTube;Arquivo PNG;Canva;Página
#73;7 erros que te impedem de ser mãe;Moniele Cunha;https://youtu.be/poqREYKg0Oo;#73 - Moniele Cunha.png;https://www.canva.com/design/DAHT5IrBs84/edit;12
#74;Acabando com a saúde das crianças;Renata Fróes;https://youtu.be/m0-luCqnDHI;#74 - Renata Fróes.png;https://www.canva.com/design/DAHT5ESs_-o/edit;18
#75;Hábitos que causam cegueira;João Paulo Lomelino;https://youtu.be/9vn92mLV9QY;#75 - João Paulo Lomelino.png;https://www.canva.com/design/DAHT5ESs_-o/edit;17
#76;A cura para o cansaço não é dormir;João Malheiro;https://youtu.be/jDMZSktGsII;#76 - João Malheiro.png;https://www.canva.com/design/DAHT5IrBs84/edit;11
#77;Autismo e TDAH é modinha?;Carolina Scarabucci;https://youtu.be/9NASsAZudM8;#77 - Carolina Scarabucci.png;https://www.canva.com/design/DAHT5IrBs84/edit;10
#78;A dieta que ajuda a vencer o câncer;Paula Pratti;https://youtu.be/-0YbUDGjs-0;#78 - Paula Pratti.png;https://www.canva.com/design/DAHT5IrBs84/edit;9
#79;Suicídio: sinais de alerta;Thiago Andrade;https://youtu.be/WX2MaWVMOB8;#79 - Thiago Andrade.png;https://www.canva.com/design/DAHT5IrBs84/edit;8
#80;O fim do metabolismo lento;Flavia Verocai;https://youtu.be/W0fq6E8a-Mo;#80 - Flavia Verocai.png;https://www.canva.com/design/DAHT5ESs_-o/edit;16
#81;Acordar cansado não é normal;Gleison Guimarães;https://youtu.be/-pO1vLrBOVc;#81 - Gleison Guimarães.png;https://www.canva.com/design/DAHT5ESs_-o/edit;15
#82;Remédio pra dormir?;Gleison Guimarães;https://youtu.be/nZCs5lDt6p0;#82 - Gleison Guimarães.png;https://www.canva.com/design/DAHT5ESs_-o/edit;14
#83;Autoimune causa infertilidade?;Carolina Meireles;https://youtu.be/xNsmEWSAfdY;#83 - Carolina Meireles.png;https://www.canva.com/design/DAHT5ESs_-o/edit;13
#84;Como preparar sua casa para o Natal;Ana Luisa Rego Macedo;https://youtu.be/mRoSuyWs7OQ;#84 - Ana Luisa Rego Macedo.png;https://www.canva.com/design/DAHT5IrBs84/edit;7
#85;O que as unhas dizem da saúde;Miguel Ceccarelli;https://youtu.be/4ApDYi8vByw;#85 - Miguel Ceccarelli.png;https://www.canva.com/design/DAHT5ESs_-o/edit;12
#86;Vitiligo tem cura?;Paulo Luzio;https://youtu.be/490bxOEmmvc;#86 - Paulo Luzio.png;https://www.canva.com/design/DAHT5ESs_-o/edit;11
#87;O fim do efeito sanfona;Luis Trocado;https://youtu.be/V-XlAv90XdM;#87 - Luis Trocado.png;https://www.canva.com/design/DAHT5ESs_-o/edit;10
#88;Criança acordando à noite;Larissa Abreu;https://youtu.be/2VGAFbSyEMI;#88 - Larissa Abreu.png;https://www.canva.com/design/DAHT5ESs_-o/edit;9
#89;Epidemia de autismo?;Tielle Machado;https://youtu.be/m3qu6J4cK7E;#89 - Tielle Machado.png;https://www.canva.com/design/DAHT5ESs_-o/edit;8
#90;A pele dos sonhos;Larissa Botelho;https://youtu.be/J0u3MBhW4Hc;#90 - Larissa Botelho.png;https://www.canva.com/design/DAHT5ESs_-o/edit;7
