Programa;Episódio;Título;Convidado;YouTube;Canva (edição);Página Canva;Drive (ver);Drive (download);Download direto (PNG);Arquivo
Anima Podcast;#165;Carreira de sucesso sem sacrificar sua família;Eduardo Martins;https://youtu.be/FEnlK0XVXi4;https://www.canva.com/design/DAHT5YkS6QU/edit?page=17;17;https://drive.google.com/file/d/1a1zJuL7O2Fy4dk6F8zAmJ_s5hvMEH4gl/view;https://drive.google.com/uc?export=download&id=1a1zJuL7O2Fy4dk6F8zAmJ_s5hvMEH4gl;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23165%20-%20Eduardo%20Martins.png;#165 - Eduardo Martins.png
Anima Podcast;#166;Ciência e espiritualidade;Mateus Simon;https://youtu.be/dvSCpY09bvQ;https://www.canva.com/design/DAHT5YkS6QU/edit?page=16;16;https://drive.google.com/file/d/1Norv_PTVvzPDngTKVQzkQeocbzdXhsJD/view;https://drive.google.com/uc?export=download&id=1Norv_PTVvzPDngTKVQzkQeocbzdXhsJD;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23166%20-%20Mateus%20Simon.png;#166 - Mateus Simon.png
Anima Podcast;#167;A crise e a esperança;Pe. Leandro Rasera;https://youtu.be/xINB0dCaQ1E;https://www.canva.com/design/DAHT5NdLe6g/edit?page=2;2;https://drive.google.com/file/d/1iA3cyHzrqGtnKfxpo6XldM6sKrmkLBIQ/view;https://drive.google.com/uc?export=download&id=1iA3cyHzrqGtnKfxpo6XldM6sKrmkLBIQ;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23167%20-%20Pe.%20Leandro%20Rasera.png;#167 - Pe. Leandro Rasera.png
Anima Podcast;#168;A oficina do Diabo;Brasil Paralelo;https://youtu.be/lwusZO3QioA;https://www.canva.com/design/DAHT5NdLe6g/edit?page=8;8;https://drive.google.com/file/d/14ProJptqlKF2_oqgMnAkbWIqPZW432sQ/view;https://drive.google.com/uc?export=download&id=14ProJptqlKF2_oqgMnAkbWIqPZW432sQ;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23168%20-%20Brasil%20Paralelo.png;#168 - Brasil Paralelo.png
Anima Podcast;#169;O que não te contaram sobre a Bíblia;João Cláudio Rufino;https://youtu.be/cHNXQRDei2E;https://www.canva.com/design/DAHT5YkS6QU/edit?page=15;15;https://drive.google.com/file/d/1JSQ7Dv-NP5sw5BL8fRTTsRNDwZD0ehTE/view;https://drive.google.com/uc?export=download&id=1JSQ7Dv-NP5sw5BL8fRTTsRNDwZD0ehTE;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23169%20-%20Jo%C3%A3o%20Cl%C3%A1udio%20Rufino.png;#169 - João Cláudio Rufino.png
Anima Podcast;#170;A cidade fundada por Nossa Senhora;Pe. Leandro Rêgo;https://youtu.be/jwX4_13gCoM;https://www.canva.com/design/DAHT5NdLe6g/edit?page=1;1;https://drive.google.com/file/d/1U8SkKd6OsD5ZM9ByqSQmx3e0zHx3YKF_/view;https://drive.google.com/uc?export=download&id=1U8SkKd6OsD5ZM9ByqSQmx3e0zHx3YKF_;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23170%20-%20Pe.%20Leandro%20R%C3%AAgo.png;#170 - Pe. Leandro Rêgo.png
Anima Podcast;#171;Amor que supera tudo;Camila e Felipe Oliveira;https://youtu.be/VY3P7B7Zvzg;https://www.canva.com/design/DAHT5NdLe6g/edit?page=7;7;https://drive.google.com/file/d/1uUPUTD_WcGmqF7AB9-Rv49TwG02gMXRb/view;https://drive.google.com/uc?export=download&id=1uUPUTD_WcGmqF7AB9-Rv49TwG02gMXRb;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23171%20-%20Camila%20e%20Felipe%20Oliveira.png;#171 - Camila e Felipe Oliveira.png
Anima Podcast;#172;Da Canção Nova para o mundo;Pe. Evandro Lima;https://youtu.be/Xx9SeIM_ndk;https://www.canva.com/design/DAHT5YkS6QU/edit?page=14;14;https://drive.google.com/file/d/1asVBv5asIhVk6NpA7TQKdmwe436M6YcK/view;https://drive.google.com/uc?export=download&id=1asVBv5asIhVk6NpA7TQKdmwe436M6YcK;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23172%20-%20Pe.%20Evandro%20Lima.png;#172 - Pe. Evandro Lima.png
Anima Podcast;#173;Toda vida importa!;Mariangela Consoli;https://youtu.be/P59pacYN4Ek;https://www.canva.com/design/DAHT5YkS6QU/edit?page=13;13;https://drive.google.com/file/d/15ojvQuHxqgl999O-aKmnhqOrCNUoyZ95/view;https://drive.google.com/uc?export=download&id=15ojvQuHxqgl999O-aKmnhqOrCNUoyZ95;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23173%20-%20Mariangela%20Consoli.png;#173 - Mariangela Consoli.png
Anima Podcast;#175;Do leito da morte à praia no mesmo dia;Raquel Carpenter;https://youtu.be/Jh5_3kro1n8;https://www.canva.com/design/DAHT5YkS6QU/edit?page=12;12;https://drive.google.com/file/d/1MIEWKa-EPhpbJsBl1rlRUTDqCmnytthn/view;https://drive.google.com/uc?export=download&id=1MIEWKa-EPhpbJsBl1rlRUTDqCmnytthn;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23175%20-%20Raquel%20Carpenter.png;#175 - Raquel Carpenter.png
